date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:31	21757/21757	---M--	200	added ('OK')	image/png	etag:%2254fd-673ec380-3e6a6e22d674d891;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/feature-shape.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/feature-shape.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/style.css)
17:05:31	741667/741667	---M--	200	added ('OK')	image/jpeg	etag:%22b5123-673ec380-1c0dcf4d97fc763b;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/bg/cta-1-bg-1.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/bg/cta-1-bg-1.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/style.css)
17:05:31	103385/103385	---M--	200	added ('OK')	image/png	etag:%22193d9-673ec380-cda88a32f3c593f2;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/news/blockquote-patter.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/news/blockquote-patter.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/style.css)
17:05:32	2961/2961	---M--	200	added ('OK')	image/png	etag:%22b91-673ec380-8cbc56fe92d39909;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/banner-1-shape-color-1.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/banner-1-shape-color-1.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:32	5888/5888	---M--	200	added ('OK')	image/png	etag:%221700-673ec380-d1c17bf6491f7401;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/banner-1-shape-white-1.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/banner-1-shape-white-1.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:32	7958/7958	---M--	200	added ('OK')	image/png	etag:%221f16-673ec380-a27e0ff93b6f974a;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/banner-1-shape-color-2.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/banner-1-shape-color-2.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:32	5401/5401	---M--	200	added ('OK')	image/png	etag:%221519-673ec380-e634fdda9671bc0d;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/banner-1-shape-white-2.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/shapes/banner-1-shape-white-2.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:33	147133/147133	---M--	200	added ('OK')	image/jpeg	etag:%2223ebd-673ec380-ce64831a94c73958;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/about/about-1-thumb-2.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/about/about-1-thumb-2.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:33	38386/38386	---M--	200	added ('OK')	image/jpeg	etag:%2295f2-673ec380-c92b6de5812dfa4a;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/about/about-1-thumb-1.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/about/about-1-thumb-1.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:33	18398/18398	---M--	200	added ('OK')	image/jpeg	etag:%2247de-673ec380-40cce3426bbda545;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/about/about-1-thumb-3.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/about/about-1-thumb-3.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:33	9945/9945	---M--	200	added ('OK')	image/jpeg	etag:%2226d9-673ec380-d6581bd87c003e54;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/about/about-1-thumb-4.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/about/about-1-thumb-4.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:33	3942/3942	---M--	200	added ('OK')	image/png	etag:%22f66-673ec380-218fe87ebae79df2;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/icons/section-icon-1.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/icons/section-icon-1.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:34	3581/3581	---M--	200	added ('OK')	image/png	etag:%22dfd-673ec380-d972b77a559c4c19;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/icons/section-icon-2.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/icons/section-icon-2.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:34	456903/456903	---M--	200	added ('OK')	image/jpeg	etag:%226f8c7-673ec380-296bef628caff2ea;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/banner/banner-1-bg-1.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/banner/banner-1-bg-1.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:34	45673/45673	---M--	200	added ('OK')	image/jpeg	etag:%22b269-673ec380-576be966aef938b2;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/service/service-1-thumb-1.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/service/service-1-thumb-1.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:34	2732/2732	---M--	200	added ('OK')	image/png	etag:%22aac-673ec380-bbdf1ec8b09d7dc2;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/icons/service-icon-1.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/icons/service-icon-1.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:34	61320/61320	---M--	200	added ('OK')	image/jpeg	etag:%22ef88-673ec380-c0dc72e70c244bb0;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/service/service-1-thumb-2.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/service/service-1-thumb-2.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
17:05:34	70198/70198	---M--	200	added ('OK')	image/jpeg	etag:%2211236-673ec380-47611e14a8f187a9;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/service/service-1-thumb-3.jpeg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/images/service/service-1-thumb-3.jpg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/index.html)
